ClientId,UserId,Date,No_of_times
inl,inl_sruiz2,1/1/2018,10
mbs,mbs_jwatson,1/1/2018,19
mag,mag_jchawla,1/1/2018,27
krn,krn_jhwang,1/1/2018,28
Cur,Cur_Psteele,1/1/2018,9
rci,rci_lwiebe,1/1/2018,9
wrn,wrn_pgonzales,1/1/2018,9
mrd,mrd_jyee,1/1/2018,9
jkg,jkg_alu,1/1/2018,9
bkx,bkx_rmcdaniel,1/2/2018,10
gma,gma_dmai,1/2/2018,18
yoo,yoo_mlee,1/2/2018,11
rci,rci_dseidler,1/2/2018,9
cfu,cfu_cblackwell,1/2/2018,9
k42,k42_bphelps,1/2/2018,20
cfu,cfu_kward1,1/2/2018,30
pbz,pbz_sgoldstein,1/2/2018,46
jpm,jpm_nkookada,1/2/2018,10
inl,inl_alacoste2,1/2/2018,10
trn,trn_kjetha,1/2/2018,24
Deu,Deu_jcore,1/2/2018,38
es2,es2_sborbolla,1/2/2018,4
ope,ope_pezquerra,1/2/2018,9
m4s,m4s_eruiz,1/2/2018,9
k73,k73_rsalminen,1/2/2018,9
mlt,mlt_prajahram,1/2/2018,9
krn,krn_jhwang,1/2/2018,86
ca4,ca4_jrampinini,1/2/2018,30
chj,chj_gread,1/2/2018,53
pbl,pbl_jaguilar,1/2/2018,15
Gml,Gml_kguevara,1/2/2018,9
alt,alt_hzul,1/2/2018,81
wen,wen_bcrecente,1/2/2018,26
rge,rge_aporter,1/2/2018,18
gnm,gnm_clam1,1/2/2018,46
inm,inm_msacchetti,1/2/2018,21
amz,amz_rmessinger,1/2/2018,32
pfj,pfj_jweed,1/2/2018,81
fdm,fdm_mvallo,1/2/2018,582
sbn,sbn_cgrant,1/2/2018,9
mxg,mxg_arivera,1/2/2018,10
gbp,gbp_jstrellner,1/2/2018,9
msn,msn_afuentesnava,1/2/2018,18
NWI,NWI_tjones,1/2/2018,18
mag,mag_zali,1/2/2018,9
4tm,4tm_bfisher,1/2/2018,111
36i,36i_smeyer,1/2/2018,64
ggl,ggl_amahindru,1/2/2018,9
gma,gma_clow3,1/2/2018,9
gan,gan_jduke,1/2/2018,9
yho,yho_cnzaou,1/2/2018,9
sp2,sp2_gfullam,1/2/2018,9
eb7,eb7_icomercial,1/2/2018,11
rci,rci_acochrane,1/2/2018,9
hrz,hrz_jdarling,1/2/2018,18
umc,umc_marksey,1/2/2018,9
cvm,cvm_jwong,1/2/2018,9
inm,inm_ksullivan,1/2/2018,27
e5g,e5g_jamato,1/2/2018,47
mbg,mbg_glopez,1/2/2018,99
ypc,ypc_ttaylor,1/2/2018,5
tim,tim_pmuley,1/2/2018,10
07w,07w_csmith,1/2/2018,18
inl,inl_cfuentes,1/2/2018,17
k40,k40_mpasternak,1/2/2018,13
ocm,ocm_lgarza,1/2/2018,9
gs1,gs1_dmullen,1/2/2018,9
sbd,sbd_jmeronen,1/2/2018,9
wik,wik_spiereman,1/2/2018,9
gs1,gs1_ewallerstein,1/2/2018,18
nmx,nmx_mgalvis,1/2/2018,20
yoo,yoo_jho,1/2/2018,10
ggl,ggl_rmakhija,1/2/2018,9
mlb,mlb_afram,1/2/2018,9
rci,rci_ndansoh,1/2/2018,58
pan,pan_cbrooker,1/2/2018,9
mne,mne_drichardson,1/2/2018,19
yoo,yoo_aboyer,1/2/2018,18
tmi,tmi_jclayton,1/2/2018,11
wko,wko_gspendijian,1/2/2018,9
stc,stc_vtran,1/2/2018,9
ick,ick_cmoreno,1/2/2018,9
