Product Bucket,Affected Product,Subproduct
Non-Product,Non-Product (Internal),
Non-Product,Non-Product (Internal),CEM
Non-Product,Non-Product (Internal),Help Desk
Non-Product,Non-Product (Internal),Internal (Other)
Non-Product,Non-Product (Internal),PPT
Non-Product,Non-Product (Internal),SCM
Non-Product,Non-Product (Internal),Security
Non-Product,Non-Product (Internal),SinoTrak
Non-Product,Non-Product (Internal),Tech Tools
Non-Product,Non-Product (Internal),User Access Tools
Multi,All / Multi-Product,
Activation,Activation,
Activation,Activation,Content Activation
Activation,Activation,Audience Activation
Branded Entertainment,BE,
Branded Entertainment,BE,ITVX
CMAM,CMAM International,
MyMetrix Products,Core Digital,
MyMetrix Products,Core Digital,AMX
MyMetrix Products,Core Digital,Direct
MyMetrix Products,Core Digital,MMX
MyMetrix Products,Core Digital,MMX MP
MyMetrix Products,Core Digital,MoMX
MyMetrix Products,Core Digital,MyMetrix
MyMetrix Products,Core Digital,PMX
MyMetrix Products,Core Digital,qSearch
MyMetrix Products,Core Digital,R/F
MyMetrix Products,Core Digital,SMX
MyMetrix Products,Core Digital,VMX
MyMetrix Products,Core Digital,VMX MP
Custom,Custom Solutions,
DAx,DAx,
DDE,DDE,
DDE,DDEi,
Lift,Lift,
Lift,Lift,Brand Lift
Lift,Lift,Location Lift
Lift,Lift,Sales Lift
Lift,Lift,Survey Lift
Linear TV,Linear,
Linear TV,Linear,TV
Linear TV,Linear,Local
Linear TV,Linear,National
Linear TV,Linear,Operator
Linear TV,Linear,SVE
Linear TV,Linear,TVE
OnDemand Essentials,ODE,
Multi,ORCA Platform,
Media Planning Essentials,RFO,
THP,THP,
Movies,Theatrical,BOE
Movies,Theatrical,BOE
Movies,Theatrical,iBOE
Movies,Theatrical,EMS
Movies,Theatrical,Preact
Movies,Theatrical,PostTrack
Movies,Theatrical,PostTrack International
Movies,Theatrical,Reperatory
Movies,Theatrical,SWIFT
Movies,Theatrical,TCC
Movies,Theatrical,TDS / TDSg
vCE,vCE,
vCE,vCE,CCR
vCE,vCE,Ad Val
vCE,vCE,Audience
"Cross Platform (ETV, Xmedia)",XP,
"Cross Platform (ETV, Xmedia)",XP,ETV
"Cross Platform (ETV, Xmedia)",XP,Xmedia
